Lot,Vitrox ID,Recipe,Yield,Total Inspected,Total Reject,Invalid,Rayon en el pad-NE,Contam. en pad-93,Contam en pad 93 C,BX,BY,Contaminacion metal,Tablero despostillado,Residuo metalico-80,Mark Invalid Device,Pin1,Despostillado-84,Contaminacion-93,Marking 1
4762977.1,6VTRX02,SKY58083+REV6, 96.806%   ,5353   ,,        0 ,       13 ,,,      0 ,      0 ,,      118 ,,        0 ,        0 ,        0 ,       16 ,        0 
4756640.1    ,6VTRX01,SKY58083+REV11, 95.547%   ,1572   ,,       10 ,        5 ,,,      0 ,      0 ,,       40 ,,        0 ,        4 ,        0 ,        1 ,        0 
