Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
4957913.1,,SKY55446+REV,2024/10/15 08:44:57,2024/10/15 13:21:07,,,
443,6VTRX07,SKY55446+REV3,2024/10/15 08:44:57,2024/10/15 13:21:07,95.333%,16713,780
4957913.1DEP 2,,SKY55446+REV,2024/10/20 10:49:09,2024/10/20 13:34:13,,,
4957913.1DEP 2,6VTRX07,SKY55446+REV3,2024/10/20 10:49:09,2024/10/20 13:34:13,100.000%,11256,0
4957913.1DEP 3,,SKY55446+REV,2024/10/20 13:53:03,2024/10/20 15:04:18,,,
4957913.1DEP 3,6VTRX07,SKY55446+REV3,2024/10/20 13:53:03,2024/10/20 15:04:18,0.000%,0,0
4957913.1DEP 4,,SKY55446+REV,2024/10/20 16:37:14,2024/10/20 17:29:37,,,
4957913.1DEP 4,6VTRX07,SKY55446+REV3,2024/10/20 16:37:14,2024/10/20 17:29:37,99.980%,4893,1
4957913.1DEP,,SKY55446+REV,2024/10/20 10:40:45,2024/10/20 10:45:03,,,
4957913.1DEP,6VTRX07,SKY55446+REV3,2024/10/20 10:40:45,2024/10/20 10:45:03,0.000%,0,0
4957913.2,,SKY55446+REV,2024/10/21 08:25:06,2024/10/21 10:42:43,,,
4957913.2,,SKY55446+REV,2024/10/21 08:25:06,2024/10/21 10:42:43,,,
258,6VTRX07,SKY55446+REV3,2024/10/21 08:25:06,2024/10/21 10:42:43,95.164%,3391,164
4957913.2,,SKY55446+REV,2024/10/21 08:25:06,2024/10/21 08:27:50,,,
,6VTRX07,SKY55446+REV3,2024/10/21 08:25:06,2024/10/21 08:27:50,0.000%,0,0
4957913.2DEP,,SKY55446+REV,2024/10/21 10:48:50,2024/10/21 11:56:41,,,
4957913.2DEP,6VTRX07,SKY55446+REV3,2024/10/21 10:48:50,2024/10/21 11:56:41,99.802%,2529,5
4957913.3,,SKY55446+REV,2024/10/21 16:46:59,2024/10/22 01:24:17,,,
4957913.3,,SKY55446+REV,2024/10/21 16:46:59,2024/10/22 01:24:17,,,
,6VTRX07,SKY55446+REV3,2024/10/21 16:46:59,2024/10/22 01:24:17,98.477%,16417,250
4957913.3,,SKY55446+REV,2024/10/21 16:46:59,2024/10/22 00:28:40,,,
4957913.3,,SKY55446+REV,2024/10/21 16:46:59,2024/10/22 00:28:40,,,
388,6VTRX07,SKY55446+REV3,2024/10/21 16:46:59,2024/10/22 00:28:40,94.314%,16321,928
4957914.1,,SKY55446+REV,2024/10/10 07:03:44,2024/10/10 13:20:36,,,
4957914.1,,SKY55446+REV,2024/10/10 07:03:44,2024/10/10 13:20:36,,,
,6VTRX07,SKY55446+REV2,2024/10/10 07:03:44,2024/10/10 13:20:36,99.246%,21491,162
4957914.1,,SKY55446+REV,2024/10/10 07:03:44,2024/10/10 12:50:38,,,
4957914.1,,SKY55446+REV,2024/10/10 07:03:44,2024/10/10 12:50:38,,,
921,6VTRX07,SKY55446+REV2,2024/10/10 07:03:44,2024/10/10 12:50:38,97.372%,21274,559
4957915.1,,SKY55446+REV,2024/10/02 06:44:35,2024/10/03 22:54:17,,,
4957915.1,,SKY55446+REV,2024/10/02 06:44:35,2024/10/03 22:54:17,,,
953,6VTRX07,SKY55446+REV1,2024/10/02 06:44:35,2024/10/03 22:54:17,97.385%,9789,256
4957915.1,,SKY55446+REV,2024/10/02 06:44:35,2024/10/03 23:41:44,,,
4957915.1,,SKY55446+REV,2024/10/02 06:44:35,2024/10/03 23:41:44,,,
960,6VTRX07,SKY55446+REV1,2024/10/02 06:44:35,2024/10/03 23:41:44,98.089%,9788,187
4957915.1,,SKY55446+REV,2024/10/02 06:44:35,2024/10/04 01:30:22,,,
4957915.1,,SKY55446+REV,2024/10/02 06:44:35,2024/10/04 01:30:22,,,
,6VTRX07,SKY55446+REV1,2024/10/02 06:44:35,2024/10/04 01:30:22,98.049%,9792,191
4957915.1,,SKY55446+REV,2024/10/02 06:44:35,2024/10/02 06:50:47,,,
4957915.1.2,,SKY55446+REV,2024/10/02 07:06:12,2024/10/02 09:56:46,,,
4957915.1.2,,SKY55446+REV,2024/10/02 07:06:12,2024/10/02 09:56:46,,,
303,6VTRX07,SKY55446+REV1,2024/10/02 07:06:12,2024/10/02 09:56:46,96.386%,15081,545
4957915.1.2DEP,,SKY55446+REV,2024/10/02 10:16:01,2024/10/02 10:56:55,,,
4957915.1.2DEP,,SKY55446+REV,2024/10/02 10:16:01,2024/10/02 10:56:55,,,
4957915.1.2DEP,6VTRX07,SKY55446+REV1,2024/10/02 10:16:01,2024/10/02 10:56:55,100.000%,3036,0
4957915.1.3DEP,,SKY55446+REV,2024/10/02 11:28:13,2024/10/02 13:36:54,,,
4957915.1.3DEP,6VTRX07,SKY55446+REV1,2024/10/02 11:28:13,2024/10/02 13:36:54,100.000%,11484,0
,6VTRX07,SKY55446+REV1,2024/10/02 06:44:35,2024/10/02 06:50:47,0.000%,0,0
4957916.1,,SKY55446+REV,2024/10/16 16:38:34,2024/10/17 03:31:18,,,
4957916.1,,SKY55446+REV,2024/10/16 16:38:34,2024/10/17 03:31:18,,,
,6VTRX07,SKY55446+REV3,2024/10/16 16:38:34,2024/10/17 03:31:18,97.350%,21546,571
