Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
4920441.1 2,,SKY55446+REV,2024/10/09 10:17:20,2024/10/10 02:23:56,,,
4920441.1 2,,SKY55446+REV,2024/10/09 10:17:20,2024/10/10 02:23:56,,,
4920441.1 2,6VTRX07,SKY55446+REV2,2024/10/09 10:17:20,2024/10/10 02:23:56,98.326%,20669,346
4920441.1 2,,SKY55446+REV,2024/10/09 10:17:20,2024/10/10 00:52:37,,,
4920441.1 2,,SKY55446+REV,2024/10/09 10:17:20,2024/10/10 00:52:37,,,
4920441.1 2,6VTRX07,SKY55446+REV2,2024/10/09 10:17:20,2024/10/10 00:52:37,81.744%,23274,4249
4920441.1 3,,SKY55446+REV,2024/10/10 02:36:26,2024/10/10 03:15:11,,,
4920441.1 3,,SKY55446+REV,2024/10/10 02:36:26,2024/10/10 03:15:11,,,
4920441.1 3,6VTRX07,SKY55446+REV2,2024/10/10 02:36:26,2024/10/10 03:15:11,100.000%,119,0
4920441.1 3,,SKY55446+REV,2024/10/10 02:36:26,2024/10/10 03:04:56,,,
4920441.1 3,,SKY55446+REV,2024/10/10 02:36:26,2024/10/10 03:04:56,,,
4920441.1 3,6VTRX07,SKY55446+REV2,2024/10/10 02:36:26,2024/10/10 03:04:56,34.294%,347,228
4920441.5,,SKY55446+REV,2024/10/08 22:16:18,2024/10/09 06:24:06,,,
4920441.5,,SKY55446+REV,2024/10/08 22:16:18,2024/10/09 06:24:06,,,
4920441.5,6VTRX07,SKY55446+REV2,2024/10/08 22:16:18,2024/10/09 06:24:06,77.143%,2660,608
4957914.1,,SKY55446+REV,2024/10/10 07:03:44,2024/10/10 13:20:36,,,
4957914.1,,SKY55446+REV,2024/10/10 07:03:44,2024/10/10 13:20:36,,,
4957914.1,6VTRX07,SKY55446+REV2,2024/10/10 07:03:44,2024/10/10 13:20:36,99.246%,21491,162
4957914.1,,SKY55446+REV,2024/10/10 07:03:44,2024/10/10 12:50:38,,,
4957914.1,,SKY55446+REV,2024/10/10 07:03:44,2024/10/10 12:50:38,,,
4957914.1,6VTRX07,SKY55446+REV2,2024/10/10 07:03:44,2024/10/10 12:50:38,97.372%,21274,559
4958966.1,,SKY55446+REV,2024/10/10 13:47:46,2024/10/10 20:26:18,,,
4958966.1,,SKY55446+REV,2024/10/10 13:47:46,2024/10/10 20:26:18,,,
4958966.1,6VTRX07,SKY55446+REV2,2024/10/10 13:47:46,2024/10/10 20:26:18,92.066%,13449,1067
D,,SKY55446+REV,2024/10/09 07:59:10,2024/10/09 07:59:19,,,
D,6VTRX07,SKY55446+REV2,2024/10/09 07:59:10,2024/10/09 07:59:19,0.000%,0,0
2173788.1,6VTRX08,SKY53938-12 STR,2024/10/10 07:27:22,2024/10/10 07:34:40,6.977%,129,120
4957920.1 1,6VTRX08,SKY55446+REV3,2024/10/09 15:48:45,2024/10/09 16:35:05,96.496%,1484,52
4957920.1 DETAPE,6VTRX08,SKY55446+REV3,2024/10/09 11:14:24,2024/10/09 11:26:41,100.000%,729,0
4957920.1,6VTRX08,SKY55446+REV3,2024/10/09 16:39:48,2024/10/10 07:14:02,89.465%,16212,1708
4957920.1,6VTRX08,SKY55446+REV3,2024/10/09 16:39:48,2024/10/09 19:16:58,94.426%,4539,253
4957920.2 2,6VTRX08,SKY55446+REV3,2024/10/10 08:36:21,2024/10/10 12:03:11,98.205%,10030,180
4957920.2 2,6VTRX08,SKY55446+REV3,2024/10/10 08:36:21,2024/10/10 11:30:14,96.699%,9815,324
4957920.2,6VTRX08,SKY55446+REV3,2024/10/10 07:53:18,2024/10/10 08:28:27,96.701%,1273,42
4957921.1,6VTRX08,SKY55446+REV3,2024/10/10 12:16:22,2024/10/10 18:18:31,99.574%,21582,92
4957921.1,6VTRX08,SKY55446+REV3,2024/10/10 12:16:22,2024/10/10 18:51:20,100.000%,11500,0
4957921.1,6VTRX08,SKY55446+REV3,2024/10/10 12:16:22,2024/10/10 17:33:41,97.506%,21451,535
