File Name,Lot,Equip ID,Yield
4287661.1.txt,LOT       : 4287661.1                                START TIME : 2023/03/19 01:33:12,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9755            Total Yield :  99.108%
4287662.1-1.txt,LOT       : 4287662.1                                START TIME : 2023/03/18 15:39:33,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9841            Total Yield :  99.929%
4287662.1.txt,LOT       : 4287662.1                                START TIME : 2023/03/18 15:39:33,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9841            Total Yield :  98.018%
4287897.1-1.txt,LOT       : 4287897.1                                START TIME : 2023/03/21 14:04:14,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5382            Total Yield :  99.758%
4287897.1.txt,LOT       : 4287897.1                                START TIME : 2023/03/21 14:04:14,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5382            Total Yield :  99.443%
4287898.1-1.txt,LOT       : 4287898.1                                START TIME : 2023/03/19 13:12:56,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5431            Total Yield :  99.227%
4287898.1.txt,LOT       : 4287898.1                                START TIME : 2023/03/19 13:12:56,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5431            Total Yield :  97.698%
4287899.1-1.txt,LOT       : 4287899.1                                START TIME : 2023/03/19 23:24:58,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5538            Total Yield :  99.350%
4287899.1.txt,LOT       : 4287899.1                                START TIME : 2023/03/19 23:24:58,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5539            Total Yield :  97.870%
4289478.1-1.txt,LOT       : 4289478.1                                START TIME : 2023/03/19 06:56:03,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 8805            Total Yield :  99.625%
4289478.1.txt,LOT       : 4289478.1                                START TIME : 2023/03/19 06:56:03,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 8520            Total Yield :  99.096%
4289480.1-1.txt,LOT       : 4289480.1                                START TIME : 2023/03/18 20:30:06,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9813            Total Yield :  99.837%
4289480.1.txt,LOT       : 4289480.1                                START TIME : 2023/03/18 20:30:06,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9815            Total Yield :  98.849%
4289658.1-1.txt,LOT       : 4289658.1                                START TIME : 2023/03/18 14:33:16,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9974            Total Yield :  99.769%
4289658.1.txt,LOT       : 4289658.1                                START TIME : 2023/03/18 14:33:16,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9974            Total Yield :  98.897%
4290771.1 RW-1.txt,LOT       : 4290771.1 RW                             START TIME : 2023/03/18 21:29:14,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9802            Total Yield :  99.959%
4290771.1 RW.txt,LOT       : 4290771.1 RW                             START TIME : 2023/03/18 21:29:14,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9804            Total Yield :  99.378%
4290771.1-1.txt,LOT       : 4290771.1                                START TIME : 2023/03/18 05:22:19,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9815            Total Yield :  99.878%
4290771.1.txt,LOT       : 4290771.1                                START TIME : 2023/03/18 05:22:19,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9816            Total Yield :  99.053%
4290772.1-1.txt,LOT       : 4290772.1                                START TIME : 2023/03/17 15:10:13,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9940            Total Yield :  99.799%
4290772.1.txt,LOT       : 4290772.1                                START TIME : 2023/03/17 15:10:13,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9938            Total Yield :  98.702%
4290773.1-1.txt,LOT       : 4290773.1                                START TIME : 2023/03/18 12:54:50,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10002           Total Yield :  99.770%
4290773.1.txt,LOT       : 4290773.1                                START TIME : 2023/03/18 12:54:50,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10001           Total Yield :  99.050%
