Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
4730736.1,6VTRX02,SKYA21055+REV6,2024/03/15 13:21:06,2024/03/15 14:21:45,99.360%,7968,
4730737.1,6VTRX02,SKYA21055+REV6,2024/03/22 23:46:15,2024/03/23 00:42:32,99.368%,8074,
4730737.,6VTRX02,SKYA21055+REV6,2024/03/23 00:44:47,2024/03/23 00:49:02,84.314%,51,
4730739.1,6VTRX02,SKYA21055+REV6,2024/03/15 00:49:40,2024/03/15 01:44:13,98.115%,8224,
4730739.2,6VTRX02,SKYA21055+REV6,2024/03/15 01:52:31,2024/03/15 02:23:48,98.026%,304,
4730740.1,6VTRX02,SKYA21055+REV6,2024/03/21 07:18:02,2024/03/21 10:38:30,65.059%,8374,
4730740.,6VTRX02,SKYA21055+REV6,2024/03/21 10:41:59,2024/03/21 11:22:40,94.566%,2926,
4730740.3,6VTRX02,SKYA21055+REV6,2024/03/21 11:25:24,2024/03/21 11:38:53,97.797%,454,
4730804.1,6VTRX02,SKY58083+REV6,2024/03/12 06:36:42,2024/03/12 07:46:45,98.304%,10728,
4730805.1,6VTRX02,SKY58083+REV6,2024/03/13 12:43:44,2024/03/13 14:26:23,96.510%,10745,
4730805.,6VTRX02,SKY58083+REV6,2024/03/13 14:29:23,2024/03/13 14:45:42,52.267%,375,
4730807.1,6VTRX02,SKY58083+REV6,2024/03/13 11:26:58,2024/03/13 12:39:09,97.320%,10783,
4730810.1,6VTRX02,SKY58083+REV6,2024/03/13 21:02:46,2024/03/13 22:20:01,97.517%,10832,
4730810.,6VTRX02,SKY58083+REV6,2024/03/13 22:24:33,2024/03/13 22:44:00,91.822%,269,
4730811.1,6VTRX02,SKY58083+REV6,2024/03/12 16:45:07,2024/03/12 17:26:27,95.567%,4805,
4730812.1,6VTRX02,SKY58083+REV6,2024/03/12 09:58:25,2024/03/12 11:22:11,97.555%,5399,
4730813.1,6VTRX02,SKY58083+REV6,2024/03/13 06:36:09,2024/03/13 07:18:02,97.142%,5423,
4730813.,6VTRX02,SKY58083+REV6,2024/03/13 07:19:49,2024/03/13 07:29:04,74.194%,155,
4731012.1,6VTRX02,SKY58253+REV5,2024/03/16 18:42:36,2024/03/16 20:04:18,95.598%,8564,
4731012.,6VTRX02,SKY58253+REV5,2024/03/16 20:06:40,2024/03/16 20:20:32,58.886%,377,
4731013.1,6VTRX02,SKY58253+REV5,2024/03/15 14:41:10,2024/03/15 16:29:12,92.517%,8686,
4731013.,6VTRX02,SKY58253+REV5,2024/03/15 16:36:13,2024/03/15 16:56:01,70.262%,649,
4731015.1,6VTRX02,SKY58253+REV5,2024/03/14 06:40:42,2024/03/14 08:24:45,90.688%,8666,
4731015.,6VTRX02,SKY58253+REV5,2024/03/14 08:28:04,2024/03/14 08:57:03,91.326%,807,
4731016.1,6VTRX02,SKY58253+REV5,2024/03/16 04:44:44,2024/03/16 06:11:23,98.379%,8634,
4731018.1,6VTRX02,SKY58253+REV5,2024/03/16 02:28:19,2024/03/16 04:31:03,96.449%,8645,
4731018.,6VTRX02,SKY58253+REV5,2024/03/16 04:32:04,2024/03/16 04:44:03,85.668%,307,
4731020.1,6VTRX02,SKY58253+REV5,2024/03/15 23:36:26,2024/03/16 00:43:29,96.512%,8658,
4731020.,6VTRX02,SKY58253+REV5,2024/03/16 00:45:02,2024/03/16 00:55:44,70.861%,302,
4731041.1,6VTRX02,SKY58253+REV5,2024/03/17 03:25:36,2024/03/17 04:34:08,97.513%,8684,
4731041.,6VTRX02,SKY58253+REV5,2024/03/17 04:36:50,2024/03/17 04:46:13,84.862%,218,
4731893.1,6VTRX02,SKY58083+REV6,2024/03/13 17:17:45,2024/03/13 18:52:38,98.231%,10343,
4731894.1,6VTRX02,SKY58083+REV6,2024/03/14 00:09:53,2024/03/14 01:21:43,97.610%,10420,
4731894.,6VTRX02,SKY58083+REV6,2024/03/14 01:24:05,2024/03/14 01:36:25,90.763%,249,
4731895.1,6VTRX02,SKY58083+REV6,2024/03/13 07:31:55,2024/03/13 08:56:27,96.111%,10465,
4731895.,6VTRX02,SKY58083+REV6,2024/03/13 08:57:11,2024/03/13 09:56:08,75.921%,407,
4731896.1,6VTRX02,SKY58083+REV6,2024/03/13 22:54:58,2024/03/14 00:01:21,98.313%,10492,
4731897.1,6VTRX02,SKY58083+REV6,2024/03/12 07:47:57,2024/03/12 08:57:10,98.485%,10492,
4731908.1,6VTRX02,SKY58253+REV5,2024/03/24 17:16:26,2024/03/24 18:45:34,93.286%,8609,
4731908.,6VTRX02,SKY58253+REV5,2024/03/24 18:51:13,2024/03/24 19:07:47,68.685%,578,
4731910.1,6VTRX02,SKY58253+REV5,2024/03/19 01:15:05,2024/03/19 03:10:32,98.305%,8730,
4732344.1,6VTRX02,SKY58253+REV5,2024/03/16 07:38:41,2024/03/16 08:42:43,97.113%,8624,
4732344.,6VTRX02,SKY58253+REV5,2024/03/16 08:45:01,2024/03/16 08:56:10,81.928%,249,
4732347.1,6VTRX02,SKY58253+REV5,2024/03/17 04:54:11,2024/03/17 07:00:11,97.770%,8610,
4732347.2,6VTRX02,SKY58253+REV5,2024/03/17 07:21:59,2024/03/17 07:31:13,91.429%,210,
4732348.1,6VTRX02,SKY58253+REV5,2024/03/16 20:31:24,2024/03/16 21:41:01,97.536%,8604,
4732348.,6VTRX02,SKY58253+REV5,2024/03/16 21:41:50,2024/03/16 21:54:02,73.113%,212,
4732431.1,6VTRX02,SKYA21055+REV6,2024/03/15 00:03:57,2024/03/15 00:39:42,99.285%,6578,
4732894.1,6VTRX02,SKYA23011+REV1,2024/03/27 09:36:10,2024/03/27 11:20:04,97.609%,5646,
4732894.,6VTRX02,SKYA23011+REV1,2024/03/27 11:23:27,2024/03/27 11:54:40,61.240%,129,
4733288.1,6VTRX02,SKYA24002+REV1,2024/04/02 23:27:08,2024/04/03 02:12:44,97.276%,10684,
4733288.,6VTRX02,SKYA24002+REV1,2024/04/03 02:17:48,2024/04/03 02:36:18,89.691%,291,
4733586.1,6VTRX02,SKY58083+REV6,2024/03/25 16:21:12,2024/03/25 18:31:13,96.102%,10697,
4733586.,6VTRX02,SKY58083+REV6,2024/03/25 18:32:47,2024/03/25 18:48:30,64.988%,417,
4734640.1,6VTRX02,SKY58253+REV5,2024/03/17 23:17:27,2024/03/18 00:46:39,98.739%,8483,
4734640.,6VTRX02,SKY58253+REV5,2024/03/18 00:50:15,2024/03/18 00:58:58,82.243%,107,
4734641.1,6VTRX02,SKY58253+REV5,2024/03/19 04:35:23,2024/03/19 05:50:16,98.348%,8657,
4734642.1,6VTRX02,SKY58253+REV5,2024/03/31 19:22:13,2024/03/31 20:32:23,99.100%,8669,
4734642.,6VTRX02,SKY58253+REV5,2024/03/31 20:34:03,2024/03/31 20:40:22,66.667%,78,
4734643.1,6VTRX02,SKY58253+REV5,2024/03/16 00:56:30,2024/03/16 02:01:00,95.416%,8661,
4734643.,6VTRX02,SKY58253+REV5,2024/03/16 02:01:54,2024/03/16 02:27:23,91.436%,397,
4734696.1,6VTRX02,SKY77912+REV3,2024/03/20 22:49:29,2024/03/21 01:20:13,93.680%,10570,
4734696.,6VTRX02,SKY77912+REV3,2024/03/21 01:29:51,2024/03/21 01:46:48,88.174%,668,
4734715.1,6VTRX02,SKYA21055+REV6,2024/03/22 13:36:22,2024/03/22 14:29:21,99.335%,5868,
4734715.,6VTRX02,SKYA21055+REV6,2024/03/22 14:31:34,2024/03/22 14:40:59,82.051%,39,
4734717.1,6VTRX02,SKYA21055+REV6,2024/03/20 04:47:03,2024/03/20 06:20:57,97.655%,7547,
4734717.2,6VTRX02,SKYA21055+REV6,2024/03/20 06:23:58,2024/03/20 06:34:33,80.226%,177,
